City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
309,Opuwo,NA,-18.0607,13.84,68.04,56,78,0.34,broken clouds
310,Miranda De Ebro,ES,42.6865,-2.947,51.57,96,80,2.21,broken clouds
311,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,62.64,66,0,3.13,clear sky
312,Lewiston,US,44.1003,-70.2148,35.35,97,100,3.44,snow
313,Touros,BR,-5.1989,-35.4608,77.79,85,99,6.89,overcast clouds
314,Comodoro Rivadavia,AR,-45.8667,-67.5,66.06,39,0,16.11,clear sky
315,Guanica,PR,17.9716,-66.908,76.05,78,1,6.33,clear sky
316,Lompoc,US,34.6391,-120.4579,53.74,88,100,21.0,overcast clouds
317,Voyinka,UA,45.8699,33.9914,32.88,60,42,13.2,scattered clouds
318,Tomaszow Mazowiecki,PL,51.5313,20.0086,42.28,10,100,9.06,overcast clouds
319,Dire Dawa,ET,9.5931,41.8661,75.4,32,65,6.13,broken clouds
320,Bardiyah,LY,31.7561,25.0865,51.84,63,12,6.53,few clouds
321,Hami,CN,42.8,93.45,54.99,33,100,7.45,overcast clouds
322,Pochutla,MX,15.7432,-96.4661,74.82,74,0,2.62,clear sky
323,Iqaluit,CA,63.7506,-68.5145,-9.31,69,100,9.22,light snow
324,Amapa,BR,1.0,-52.0,69.87,100,100,1.23,overcast clouds
325,Nanning,CN,22.8167,108.3167,75.65,87,100,17.16,overcast clouds
326,Chilca,PE,-12.5211,-76.7372,71.33,79,56,4.72,broken clouds
327,Khorinsk,RU,52.1657,109.7726,12.7,64,54,6.6,broken clouds
328,Izumo,JP,35.3667,132.7667,64.35,42,20,12.66,few clouds
329,Dudinka,RU,69.4058,86.1778,4.62,93,100,15.5,overcast clouds
330,Tres Arroyos,AR,-38.3739,-60.2798,61.43,51,3,9.1,clear sky
331,Loandjili,CG,-4.7561,11.8578,78.91,94,40,3.44,scattered clouds
332,Staryy Nadym,RU,65.6118,72.6842,23.59,93,100,15.99,light snow
333,Massaguet,TD,12.4755,15.4365,71.29,13,44,16.8,scattered clouds
